durationOfSession,steps,device,city,country,platform,current_filters,impressions,priceMean,hotel Facilities,interaction item image,search for poi,filter selection,interaction item info,search for destination,interaction item rating,change of sort order,interaction item deals,search for item,target
151.0,5,tablet,Valencia, Spain,DE,0,25,86,2159,0,0,0,1,1,0,0,0,0,1
0.0,1,desktop,Coron, Philippines,US,0,1,494,68,0,0,0,0,0,0,0,0,0,1
654.0,2,desktop,San Miguel de Allende, Mexico,MX,0,25,62,566,0,0,0,0,1,0,0,0,0,1
65.0,11,mobile,Lisbon, Portugal,CA,3,25,80,1024,0,0,8,0,0,0,2,0,0,1
198.0,4,mobile,Marne-la-Vallée, France,NL,1,25,84,2260,0,0,1,1,0,0,0,0,0,1
0.0,1,desktop,Atlixco, Mexico,MX,0,9,81,231,0,0,0,0,0,0,0,0,0,1
69.0,2,desktop,Lüderitz, Namibia,US,0,0,0,0,0,0,0,0,2,0,0,0,0,0
43.0,2,desktop,Mazzin, Italy,PL,0,25,269,1104,0,0,0,0,0,0,0,1,0,1
10.0,3,mobile,Orlando, USA,CA,0,0,0,0,2,0,0,1,0,0,0,0,0,0
56.0,2,mobile,Bertioga, Brazil,BR,0,10,65.0,179,0,0,0,0,0,0,0,0,1,1
74.0,2,desktop,Veenendaal, Netherlands,NL,0,25,97,1077,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Galveston, USA,US,0,25,67,1238,0,0,0,0,0,0,0,0,0,1
96632.0,8,mobile,Allahabad, India,IN,2,25,31,641,3,0,3,1,0,0,4,0,0,1
0.0,1,desktop,Tatuí, Brazil,BR,0,7,108,144,0,0,0,0,0,0,0,0,0,1
104.0,4,tablet,Bridgeport, USA,US,0,10,101.0,376,0,0,0,0,0,1,0,1,0,1
538.0,13,mobile,Antwerp, Belgium,NL,1,25,72,1893,0,0,1,1,7,0,2,0,0,1
11.0,6,mobile,Ödemiş, Turkey,TR,0,7,37,140,5,0,0,0,0,0,0,0,0,1
564.0,6,mobile,Kaysersberg, France,FR,0,25,85,806,2,0,0,0,0,0,0,0,0,1
50.0,2,mobile,Playa Cofresi, Dominican Republic,US,0,25,96,702,0,0,0,0,0,0,0,0,1,1
2509.0,19,desktop,Calgary, Canada,CA,1,25,88,2829,0,0,6,0,0,7,0,0,0,1
0.0,1,mobile,Bijapur, India,IN,0,23,17,242,0,0,0,0,0,0,0,0,0,1
0.0,1,mobile,Scarborough, United Kingdom,UK,0,25,67,911,0,0,0,0,0,0,0,0,0,1
